--------------------------------------------------
Date: 2025.04.01 12:53:46

--- Large Blocks
00007fb04fa32000 .. 00007fb04fc3203f   size 0000000000200040 : xalloc.c 1616 
00007fb04fc32040 .. 00007fb04fd3207f   size 0000000000100040 : xalloc.c 1627 
00007fb04fd32080 .. 00007fb0501320bf   size 0000000000400040 : xalloc.c 1638 
00007fb0501320c0 .. 00007fb0501b20ff   size 0000000000080040 : mstrings.c 1827 
00007fb0501b2100 .. 00007fb0501d213f   size 0000000000020040 : otable.c 347 
00007fb0501d2140 .. 00007fb0501d6687   size 0000000000004548 : full slab 00007fb0501d2158 (72/128 bytes)
00007fb0501d6688 .. 00007fb0501d9a67   size 00000000000033e0 : full slab 00007fb0501d66a0 (48/104 bytes)
00007fb0501d9a68 .. 00007fb0501ddfaf   size 0000000000004548 : full slab 00007fb0501d9a80 (72/128 bytes)
00007fb0501ddfb0 .. 00007fb0501e1f67   size 0000000000003fb8 : partial slab 00007fb0501ddfc8 (24/80 bytes)
00007fb0501e1f68 .. 00007fb0501e64af   size 0000000000004548 : partial slab 00007fb0501e1f80 (72/128 bytes)
00007fb0501e64b0 .. 00007fb0501e988f   size 00000000000033e0 : partial slab 00007fb0501e64c8 (48/104 bytes)
00007fb0501e9890 .. 00007fb0501e996f   size 00000000000000e0 : structs.c 614 
00007fb0501e9970 .. 00007fb0501eed0f   size 00000000000053a0 : partial slab 00007fb0501e9988 (112/168 bytes)
00007fb0501efd90 .. 00007fb0501f00a7   size 0000000000000318 : prolang.y 22751 : d/Standard/start/mailroom , d/Standard/start/mailroom.c 66
00007fb0501f0198 .. 00007fb0501f029f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007fb0501f02a0 .. 00007fb0501f03ef   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007fb0501f03f0 .. 00007fb0501f04df   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/cmd/live/state , std/cmd/live/state.c 76
00007fb0501f04e0 .. 00007fb0501f05cf   size 00000000000000f0 : mapping.c 421 : std/cmd/live/state , std/cmd/live/state.c 91
00007fb0501f05d0 .. 00007fb0501f06af   size 00000000000000e0 : prolang.y 14059 : ?
00007fb0501f06b0 .. 00007fb0501f079f   size 00000000000000f0 : prolang.y 14059 : ?
00007fb0501f07a0 .. 00007fb0501f2047   size 00000000000018a8 : prolang.y 22751 : std/object , std/object.c 1308
00007fb0501f2048 .. 00007fb0501f29a7   size 0000000000000960 : prolang.y 22751 : secure/master , secure/master.c (/secure/master/notify.c) 595
00007fb0501f3a10 .. 00007fb0501f3b5f   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb0501f3b60 .. 00007fb0501f3c67   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb0501f3c68 .. 00007fb0501f3d37   size 00000000000000d0 : interpret.c::allocate_uninit_array 17900 : std/combat/chumlock#2 , std/combat/cbase.c 2252
00007fb0501f3d38 .. 00007fb0501f3e17   size 00000000000000e0 : lex.c 4945 : secure/master , secure/master.c 166
00007fb0501f3e18 .. 00007fb0501f3ef7   size 00000000000000e0 : object.c 392 : secure/master , secure/master.c 166
00007fb0501f3ef8 .. 00007fb0501f3fff   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 166
00007fb0501f4160 .. 00007fb0501f460f   size 00000000000004b0 : prolang.y 22751 : secure/master , secure/master.c 72
00007fb0501f4610 .. 00007fb0501f46ff   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/container , std/container.c 88
00007fb0501f4700 .. 00007fb0501f47cf   size 00000000000000d0 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/description.c) 825
00007fb0501f47d0 .. 00007fb0501f5dff   size 0000000000001630 : prolang.y 22982 : ?
00007fb0501f5e00 .. 00007fb0501f81b7   size 00000000000023b8 : free slab 00007fb0501f5e18 (16/72 bytes)
00007fb0501f81b8 .. 00007fb0501f8307   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 42
00007fb0501f8308 .. 00007fb0501f8457   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 42
00007fb0501f8458 .. 00007fb0501f85a7   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 42
00007fb0501f85a8 .. 00007fb0501f8e47   size 00000000000008a0 : object.c 392 : ? (destructed) , secure/login.c 682
00007fb0501f8e48 .. 00007fb0501f8fdf   size 0000000000000198 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007fb0501f9108 .. 00007fb0501f91f7   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/living , std/container.c 88
