--------------------------------------------------
Date: 2025.04.01 08:31:48

--- Large Blocks
00007feb4d5c1000 .. 00007feb4d7c103f   size 0000000000200040 : xalloc.c 1616 
00007feb4d7c1040 .. 00007feb4d8c107f   size 0000000000100040 : xalloc.c 1627 
00007feb4d8c1080 .. 00007feb4dcc10bf   size 0000000000400040 : xalloc.c 1638 
00007feb4dcc10c0 .. 00007feb4dd410ff   size 0000000000080040 : mstrings.c 1827 
00007feb4dd41100 .. 00007feb4dd6113f   size 0000000000020040 : otable.c 347 
00007feb4dd61140 .. 00007feb4dd65687   size 0000000000004548 : full slab 00007feb4dd61158 (72/128 bytes)
00007feb4dd65688 .. 00007feb4dd68a67   size 00000000000033e0 : full slab 00007feb4dd656a0 (48/104 bytes)
00007feb4dd68a68 .. 00007feb4dd6cfaf   size 0000000000004548 : full slab 00007feb4dd68a80 (72/128 bytes)
00007feb4dd6cfb0 .. 00007feb4dd70f67   size 0000000000003fb8 : partial slab 00007feb4dd6cfc8 (24/80 bytes)
00007feb4dd70f68 .. 00007feb4dd754af   size 0000000000004548 : partial slab 00007feb4dd70f80 (72/128 bytes)
00007feb4dd754b0 .. 00007feb4dd7888f   size 00000000000033e0 : partial slab 00007feb4dd754c8 (48/104 bytes)
00007feb4dd78890 .. 00007feb4dd7896f   size 00000000000000e0 : structs.c 614 
00007feb4dd78970 .. 00007feb4dd7dd0f   size 00000000000053a0 : partial slab 00007feb4dd78988 (112/168 bytes)
00007feb4dd7dd10 .. 00007feb4dd7e00f   size 0000000000000300 : object.c 392 : d/Standard/race/human_std#1 , std/player_sec.c 783
00007feb4dd7e010 .. 00007feb4dd7e2ff   size 00000000000002f0 : object.c 392 : d/Standard/race/human_std#1 , d/Standard/std/mail_stuff.c 11
00007feb4dd7e300 .. 00007feb4dd7e407   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/description.c) 825
00007feb4dd7e408 .. 00007feb4dd7e507   size 0000000000000100 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/description.c) 825
00007feb4dd7e640 .. 00007feb4dd7e787   size 0000000000000148 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd7e850 .. 00007feb4dd7e927   size 00000000000000d8 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd7e928 .. 00007feb4dd7ea2f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd7ea30 .. 00007feb4dd7eaff   size 00000000000000d0 : interpret.c::allocate_uninit_array 17900 : std/cmd/live/state , std/cmd/live/state.c 91
00007feb4dd7eb00 .. 00007feb4dd7ebcf   size 00000000000000d0 : interpret.c::allocate_uninit_array 17900 : std/cmd/live/state , std/cmd/live/state.c 91
00007feb4dd7ebd0 .. 00007feb4dd7f4d7   size 0000000000000908 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd7f4d8 .. 00007feb4dd7f5cf   size 00000000000000f8 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd7f5d0 .. 00007feb4dd7f6af   size 00000000000000e0 : prolang.y 14059 : ?
00007feb4dd7f6b0 .. 00007feb4dd7f79f   size 00000000000000f0 : prolang.y 14059 : ?
00007feb4dd7f7a0 .. 00007feb4dd816bf   size 0000000000001f20 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4dd82b88 .. 00007feb4dd82c9f   size 0000000000000118 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd82ca0 .. 00007feb4dd82def   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd82f80 .. 00007feb4dd8308f   size 0000000000000110 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4dd83090 .. 00007feb4dd8315f   size 00000000000000d0 : interpret.c::allocate_uninit_array 17900 : std/combat/chumlock#2 , std/combat/cbase.c 2252
00007feb4dd83160 .. 00007feb4dd8360f   size 00000000000004b0 : prolang.y 22751 : secure/master , secure/master.c 72
00007feb4dd83610 .. 00007feb4dd836ff   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/container , std/container.c 88
00007feb4dd83700 .. 00007feb4dd837cf   size 00000000000000d0 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/description.c) 825
00007feb4dd837d0 .. 00007feb4dd84dff   size 0000000000001630 : prolang.y 22982 : ?
00007feb4dd84e00 .. 00007feb4dd866a7   size 00000000000018a8 : prolang.y 22751 : std/object , std/object.c 1308
00007feb4dd866a8 .. 00007feb4dd86787   size 00000000000000e0 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 32
00007feb4dd86788 .. 00007feb4dd86867   size 00000000000000e0 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 34
00007feb4dd86868 .. 00007feb4dd869b7   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 38
00007feb4dd869b8 .. 00007feb4dd86b07   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 40
00007feb4dd86b08 .. 00007feb4dd86c57   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 41
00007feb4dd86c58 .. 00007feb4dd86da7   size 0000000000000150 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 41
00007feb4dd86da8 .. 00007feb4dd87647   size 00000000000008a0 : object.c 392 : ? (destructed) , secure/login.c 682
00007feb4dd87648 .. 00007feb4dd8774f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4dd87750 .. 00007feb4dd8784f   size 0000000000000100 : array.c::allocate_array 1885 : d/Standard/race/human_std#1 , std/living.c (/std/living/stats.c) 26
00007feb4dd87850 .. 00007feb4dd8794f   size 0000000000000100 : array.c::allocate_array 1885 : d/Standard/race/human_std#1 , std/living.c (/std/living/stats.c) 28
00007feb4dd87950 .. 00007feb4dd87a7f   size 0000000000000130 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd87a80 .. 00007feb4dd880af   size 0000000000000630 : object.c 392 : ? (destructed) , secure/login.c 682
00007feb4dd880b0 .. 00007feb4dd88617   size 0000000000000568 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd88618 .. 00007feb4dd8871f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd88720 .. 00007feb4dd88827   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd88828 .. 00007feb4dd8892f   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 166
00007feb4dd88930 .. 00007feb4dd98f5f   size 0000000000010630 : lex.c 6672 : ?
00007feb4dd98f60 .. 00007feb4dd99067   size 0000000000000108 : object.c 385 : ?
00007feb4dd99068 .. 00007feb4dd99327   size 00000000000002c0 : object.c 392 : ?
00007feb4dd99328 .. 00007feb4dd99567   size 0000000000000240 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 292
00007feb4dd99568 .. 00007feb4dd9966f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 292
00007feb4dd99670 .. 00007feb4dd9976f   size 0000000000000100 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4dd99838 .. 00007feb4dd99a37   size 0000000000000200 : object.c 392 : ? (destructed) , secure/login.c 682
00007feb4dd99a38 .. 00007feb4dd99b3f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4dd99b40 .. 00007feb4dd99c2f   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : std/player , std/container.c 88
00007feb4dd99d58 .. 00007feb4dd99e67   size 0000000000000110 : prolang.y 14059 : ?
00007feb4dd99fa0 .. 00007feb4dd9a64f   size 00000000000006b0 : prolang.y 22751 : ?
00007feb4dd9a650 .. 00007feb4dd9a757   size 0000000000000108 : object.c 385 : ?
00007feb4dd9a758 .. 00007feb4dd9a977   size 0000000000000220 : prolang.y 22982 : secure/master , secure/master.c 229
00007feb4dd9a978 .. 00007feb4dd9aaa7   size 0000000000000130 : prolang.y 14059 : secure/master , secure/master.c 166
00007feb4dd9aaa8 .. 00007feb4dd9ab77   size 00000000000000d0 : prolang.y 14059 : ?
00007feb4dd9ab78 .. 00007feb4dd9ac7f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007feb4dd9ad48 .. 00007feb4dd9ae4f   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 72
00007feb4dd9ae50 .. 00007feb4dd9afdf   size 0000000000000190 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 26
00007feb4dd9afe0 .. 00007feb4dd9f527   size 0000000000004548 : free slab 00007feb4dd9aff8 (72/128 bytes)
00007feb4dd9f528 .. 00007feb4dda2907   size 00000000000033e0 : partial slab 00007feb4dd9f540 (48/104 bytes)
00007feb4dda2908 .. 00007feb4dda733f   size 0000000000004a38 : partial slab 00007feb4dda2920 (56/112 bytes)
00007feb4dda7340 .. 00007feb4ddab887   size 0000000000004548 : partial slab 00007feb4dda7358 (72/128 bytes)
00007feb4ddab888 .. 00007feb4ddbb6af P size 000000000000fe28 : lex.c 7675 : ?
00007feb4ddbb6b0 .. 00007feb4ddcb4d7 P size 000000000000fe28 : lex.c 7677 : ?
00007feb4ddcb4d8 .. 00007feb4ddcd8d7   size 0000000000002400 : prolang.y 22751 : secure/master , secure/master.c 166
00007feb4ddcd8d8 .. 00007feb4ddcf68f   size 0000000000001db8 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007feb4ddcf690 .. 00007feb4ddd0317   size 0000000000000c88 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007feb4ddd0318 .. 00007feb4ddd0787   size 0000000000000470 : mapping.c 421 : std/cmd/std/soul_cmd , std/cmd/std/soul_cmd.c 280
00007feb4ddd0788 .. 00007feb4ddd088f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd0890 .. 00007feb4ddd0997   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd0998 .. 00007feb4ddd0a87   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : d/Standard/start/church , std/container.c 88
00007feb4ddd0b58 .. 00007feb4ddd1bff   size 00000000000010a8 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd1c00 .. 00007feb4ddd1d07   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd1d08 .. 00007feb4ddd2037   size 0000000000000330 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd2108 .. 00007feb4ddd21e7   size 00000000000000e0 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd21e8 .. 00007feb4ddd22bf   size 00000000000000d8 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007feb4ddd22c0 .. 00007feb4ddd2397   size 00000000000000d8 : lex.c 4945 : d/Standard/race/human_std#1 , std/living.c (/std/living/savevars.c) 1922
00007feb4ddd2398 .. 00007feb4ddd250f   size 0000000000000178 : prolang.y 22982 : secure/master , secure/master.c 3269
